id,latitude,longitude,name,type,color,station_code_2,station_code_3
50,1.380286,103.745203,South View,BP,609128,,
51,1.378686,103.748947,Keat Hong,BP,609128,,
52,1.376823,103.752907,Teck Whye,BP,609128,,
53,1.378468,103.757622,Phoenix,BP,609128,,
54,1.378112,103.763603,Bukit Panjang,BP,609128,DT,
55,1.377288,103.76739,Petir,BP,609128,,
56,1.376264,103.771294,Pending,BP,609128,,
57,1.380382,103.772636,Bangkit,BP,609128,,
58,1.384729,103.77108,Fajar,BP,609128,,
59,1.387481,103.770184,Segar,BP,609128,,
60,1.386814,103.764671,Jelapang,BP,609128,,
61,1.383206,103.762161,Senja,BP,609128,,
306,1.378112,103.763603,Bukit Panjang,BP,609128,DT,
62,1.3807583,103.7580139,Ten Mile Junction,BP,609128,,
201,1.34261,103.87997,Bartley,CC,ffeda0,,
203,1.35202,103.86353,Lorong Chuan,CC,ffeda0,,
205,1.349078,103.839492,Marymount,CC,ffeda0,,
206,1.335833,103.887942,Tai Seng,CC,ffeda0,,
207,1.32665,103.890019,MacPherson,CC,ffeda0,,
209,1.308289,103.888253,Dakota,CC,ffeda0,,
210,1.306306,103.882531,Mountbatten,CC,ffeda0,,
211,1.302856,103.875306,Stadium,CC,ffeda0,,
212,1.299697,103.863611,Nicoll Highway,CC,ffeda0,,
213,1.29313,103.861064,Promenade,CC,ffeda0,DT15,
214,1.293436,103.855381,Esplanade,CC,ffeda0,,
215,1.296931,103.850631,Bras Basah,CC,ffeda0,,
216,1.337761,103.839447,Caldecott,CC,ffeda0,,
217,1.322519,103.815406,Botanic Gardens,CC,ffeda0,DT9,
218,1.317319,103.807431,Farrer Road,CC,ffeda0,,
219,1.312078,103.796208,Holland Village,CC,ffeda0,,
221,1.299331,103.787067,One-North,CC,ffeda0,,
222,1.293383,103.784394,Kent Ridge,CC,ffeda0,,
223,1.282386,103.781867,Haw Par Villa,CC,ffeda0,,
224,1.276167,103.791358,Pasir Panjang,CC,ffeda0,,
225,1.272267,103.802908,Labrador Park,CC,ffeda0,,
226,1.270572,103.809678,Telok Blangah,CC,ffeda0,,
313,1.322519,103.815406,Botanic Gardens,CC,ffeda0,DT,
229,1.282347,103.859317,Bayfront,CE,ffe262,DT,
302,1.282347,103.859317,Bayfront,CE,ffe262,DT,
63,1.334632,103.961381,Expo,CG,9ad000,DT,
65,1.357371,103.988836,Changi Airport,CG,9ad000,,
304,1.2820554,103.8462833,Telok Ayer,DT,2c7fb8,,
312,1.3253685,103.8056155,Tan Kah Kee,DT,2c7fb8,,
309,1.3388998,103.7765364,Beauty World,DT,2c7fb8,,
307,1.3686962,103.762786,Cashew,DT,2c7fb8,,
303,1.2793636,103.8505582,Downtown,DT,2c7fb8,,
308,1.3624774,103.7652003,Hillview,DT,2c7fb8,,
311,1.3307194,103.7954443,Sixth Avenue,DT,2c7fb8,,
310,1.3356334,103.7817943,King Albert Park,DT,2c7fb8,,
317,1.3038231,103.8506826,Rochor,DT,2c7fb8,,
314,1.3200744,103.8238083,Stevens,DT,2c7fb8,,
14,1.27644,103.845711,Tanjong Pagar,EW,31a354,,
15,1.281321,103.83897,Outram Park,EW,31a354,NE3,
16,1.286081,103.826958,Tiong Bahru,EW,31a354,,
17,1.289732,103.81675,Redhill,EW,31a354,,
18,1.294443,103.806114,Queenstown,EW,31a354,,
19,1.302559,103.798225,Commonwealth,EW,31a354,,
20,1.307412,103.789696,Buona Vista,EW,31a354,CC22,
21,1.315302,103.765244,Clementi,EW,31a354,,
25,1.342376,103.732581,Chinese Garden,EW,31a354,,
26,1.344237,103.720725,Lakeside,EW,31a354,,
27,1.33884,103.705546,Boon Lay,EW,31a354,,
31,1.300693,103.856239,Bugis,EW,31a354,DT,
32,1.307167,103.863007,Lavender,EW,31a354,,
33,1.311469,103.871399,Kallang,EW,31a354,,
34,1.316441,103.88298,Aljunied,EW,31a354,,
35,1.318089,103.892982,Paya Lebar,EW,31a354,CC,
36,1.319724,103.903107,Eunos,EW,31a354,,
37,1.320982,103.912842,Kembangan,EW,31a354,,
38,1.324038,103.930036,Bedok,EW,31a354,,
39,1.327257,103.946579,Tanah Merah,EW,31a354,,
40,1.343184,103.953352,Simei,EW,31a354,,
41,1.353092,103.945229,Tampines,EW,31a354,,
42,1.372518,103.949516,Pasir Ris,EW,31a354,,
64,1.311314,103.778658,Dover,EW,31a354,,
66,1.33737,103.69709,Pioneer,EW,31a354,,
67,1.32774,103.67849,Joo Koon,EW,31a354,,
115,1.281321,103.83897,Outram Park,EW,31a354,NE3,
208,1.318089,103.892982,Paya Lebar,EW,31a354,CC9,
220,1.307412,103.789696,Buona Vista,EW,31a354,CC22,
301,1.300693,103.856239,Bugis,EW,31a354,DT,
71,1.3388,103.6467,Tuas West Road,EW,31a354,,
101,1.404705,103.902222,Punggol,NE,8856a7,PTC,
102,1.391254,103.89537,Sengkang,NE,8856a7,STC,
103,1.382431,103.892747,Buangkok,NE,8856a7,,
104,1.370927,103.892448,Hougang,NE,8856a7,,
105,1.360499,103.885169,Kovan,NE,8856a7,,
106,1.349216,103.873443,Serangoon,NE,8856a7,CC13,
107,1.33935,103.87079,Woodleigh,NE,8856a7,,
108,1.331355,103.869278,Potong Pasir,NE,8856a7,,
109,1.319582,103.861938,Boon Keng,NE,8856a7,,
110,1.312426,103.854317,Farrer Park,NE,8856a7,,
111,1.307231,103.849823,Little India,NE,8856a7,DT12,
113,1.288477,103.846756,Clarke Quay,NE,8856a7,,
114,1.28444,103.843376,Chinatown,NE,8856a7,DT19,
116,1.265319,103.820571,HarbourFront,NE,8856a7,CC,
202,1.349216,103.873443,Serangoon,NE,8856a7,CC13,
227,1.265319,103.820571,HarbourFront,NE,8856a7,CC,
305,1.28444,103.843376,Chinatown,NE,8856a7,DT,
316,1.307231,103.849823,Little India,NE,8856a7,DT,
1,1.381905,103.844818,Yio Chu Kang,NS,de2d26,,
2,1.370016,103.849449,Ang Mo Kio,NS,de2d26,,
3,1.350772,103.848183,Bishan,NS,de2d26,CC15,
4,1.340293,103.845244,Braddell,NS,de2d26,,
5,1.332702,103.847809,Toa Payoh,NS,de2d26,,
6,1.320053,103.843844,Novena,NS,de2d26,,
7,1.312482,103.837926,Newton,NS,de2d26,DT11,
8,1.304292,103.832494,Orchard,NS,de2d26,,
9,1.30015,103.838501,Somerset,NS,de2d26,,
10,1.298593,103.845909,Dhoby Ghaut,NS,de2d26,NE6,CC1
11,1.29324,103.852219,City Hall,NS,de2d26,EW13,
12,1.283931,103.851461,Raffles Place,NS,de2d26,EW14,
13,1.2761,103.85467,Marina Bay,NS,de2d26,CE2,
22,1.429463,103.835182,Yishun,NS,de2d26,,
23,1.417366,103.832945,Khatib,NS,de2d26,,
24,1.334308,103.741958,Jurong East,NS,de2d26,EW,
28,1.348796,103.749428,Bukit Batok,NS,de2d26,,
29,1.358863,103.751839,Bukit Gombak,NS,de2d26,,
30,1.385482,103.74424,Choa Chu Kang,NS,de2d26,BP,
43,1.449025,103.820152,Sembawang,NS,de2d26,,
44,1.44069,103.800934,Admiralty,NS,de2d26,,
45,1.437094,103.786484,Woodlands,NS,de2d26,,
46,1.432544,103.774073,Marsiling,NS,de2d26,,
47,1.425048,103.761852,Kranji,NS,de2d26,,
48,1.397567,103.747339,Yew Tee,NS,de2d26,,
49,1.385482,103.74424,Choa Chu Kang,NS,de2d26,BP,
112,1.298593,103.845909,Dhoby Ghaut,NS,de2d26,NE6,CC1
204,1.350772,103.848183,Bishan,NS,de2d26,CC15,
228,1.2761,103.85467,Marina Bay,NS,de2d26,CE,
68,1.2709634,103.8610533,Marina South Pier,NS,de2d26,,
315,1.312482,103.837926,Newton,NS,de2d26,DT,
130,1.399298,103.906342,Cove,PE,4f9616,,
131,1.396928,103.909324,Meridian,PE,4f9616,,
132,1.393463,103.912221,Coral Edge,PE,4f9616,,
133,1.394622,103.916502,Riviera,PE,4f9616,,
134,1.399309,103.916502,Kadaloor,PE,4f9616,,
135,1.401626,103.913702,Oasis,PE,4f9616,,
136,1.405283,103.907801,Damai,PE,4f9616,,
137,1.40975,103.904583,Sam Kee,PW,b9d842,,
138,1.4128,103.906233,Teck Lee,PW,b9d842,,
141,1.411878,103.900028,Nibong,PW,b9d842,,
143,1.4045535,103.8949752,Soo Teck,PW,b9d842,,
142,1.408057,103.898527,Sumang,PW,b9d842,,
138,1.4128,103.906233,Teck Lee,PW,b9d842,,
139,1.416883,103.906353,Punggol Point,PW,b9d842,,
140,1.41595,103.901856,Samudera,PW,b9d842,,
117,1.394564,103.900156,Compassvale,SE,ec1a2c,,
118,1.391094,103.906306,Rumbia,SE,ec1a2c,,
119,1.3878528,103.9052667,Bakau,SE,ec1a2c,,
120,1.383739,103.902194,Kangkar,SE,ec1a2c,,
121,1.383619,103.897736,Ranggung,SE,ec1a2c,,
123,1.397272,103.888953,Farmway,SW,016d55,,
124,1.3926154,103.8677349,Kupang,SW,016d55,,
125,1.397371,103.87542,Thanggam,SW,016d55,,
126,1.391935,103.876142,Fernvale,SW,016d55,,
127,1.39218,103.879895,Layar,SW,016d55,,
128,1.389286,103.886145,Tongkang,SW,016d55,,
129,1.386614,103.890425,Renjong,SW,016d55,,
122,1.3960634,103.8916224,Cheng Lim,SW,016d55,,